id,name,kind,country,synthetic
AP-130,Wahyu Simanjuntak,person,ID,true
AP-131,PT Cakrawala Logistik,company,ID,true
AP-132,Nurhayati Halim,person,ID,true
AP-133,Dian Widodo,person,ID,true
AP-134,PT Tanjung Priok Mandiri,company,ID,true
AP-135,Budi Mulyani,person,ID,true
AP-136,Yuni Hidayat,person,ID,true
AP-137,Fajar Simanjuntak,person,ID,true
AP-138,PT Graha Logistik,company,ID,true
AP-139,Ayu Halim,person,ID,true
AP-140,Ratna Santoso,person,ID,true
AP-141,Hui Zhao,person,CN,true
AP-142,Zhangjiang Property Group Co. Ltd,company,CN,true
AP-143,Chen Xu,person,CN,true
AP-144,Peng Liu,person,CN,true
AP-145,Ying Chen,person,CN,true
AP-146,Jinqiao Development Co. Ltd,company,CN,true
AP-147,Xiamen Gulf Holdings Co. Ltd,company,CN,true
AP-148,Huangpu Holdings Co. Ltd,company,CN,true
AP-149,Hongqiao Logistics Co. Ltd,company,CN,true
AP-150,Bin Wu,person,CN,true
AP-151,Jun Liu,person,CN,true
AP-152,Yinzhou Industrial Co. Ltd,company,CN,true
AP-153,Fang Li,person,CN,true
AP-154,Baoshan Holdings Co. Ltd,company,CN,true
AP-155,Mei Wang,person,CN,true
AP-156,Ying Zhu,person,CN,true
AP-157,Yan Gao,person,CN,true
AP-158,Hongqiao Property Group Co. Ltd,company,CN,true
AP-159,Jinqiao Property Group Co. Ltd,company,CN,true
AP-160,Haizhu Property Group Co. Ltd,company,CN,true
AP-161,Min Ma,person,CN,true
AP-162,Na Zhang,person,CN,true
AP-163,Qiang Wang,person,CN,true
AP-164,Qianhai Industrial Co. Ltd,company,CN,true
AP-165,Yan Ma,person,CN,true
AP-166,Huangpu Holdings Co. Ltd,company,CN,true
AP-167,Hui Huang,person,CN,true
AP-168,Tao Ma,person,CN,true
AP-169,Na Zhang,person,CN,true
AP-170,Qiang Gao,person,CN,true
AP-171,Yan Guo,person,CN,true
AP-172,Xue Zhu,person,CN,true
AP-173,Jing Sun,person,CN,true
AP-174,Yan Zhu,person,CN,true
AP-175,Lujiazui Logistics Co. Ltd,company,CN,true
AP-176,Ho Yin Poon,person,HK,true
AP-177,Chi Wai Hui,person,HK,true
AP-178,Mei Fong Tam,person,HK,true
AP-179,Causeway Limited,company,HK,true
AP-180,Victoria Harbour Properties Limited,company,HK,true
AP-181,Kwok Wai Leung,person,HK,true
AP-182,Fo Tan Logistics Limited,company,HK,true
AP-183,Chi Wai Chan,person,HK,true
AP-184,Chun Kit Yeung,person,HK,true
AP-185,Hiu Tung Poon,person,HK,true
AP-186,Ka Yan Chow,person,HK,true
AP-187,Mei Fong Poon,person,HK,true
AP-188,Wai Yee Mak,person,HK,true
AP-189,Kowloon Bay Logistics Limited,company,HK,true
AP-190,Tai Kok Tsui Holdings Limited,company,HK,true
AP-191,Wing Sze Yeung,person,HK,true
AP-192,Tsuen Wan Logistics Limited,company,HK,true
AP-193,Chun Kit Lai,person,HK,true
AP-194,Yuen Man Leung,person,HK,true
AP-195,Chun Kit Ho,person,HK,true
AP-196,Cheuk Yin Mak,person,HK,true
AP-197,Cheung Sha Wan Limited,company,HK,true
AP-198,Sze Wing Hui,person,HK,true
AP-199,Ka Ming Chan,person,HK,true
AP-200,Lok Yiu Tam,person,HK,true
